date,rate
2011-11-08,1.008200
2011-11-09,1.021700
2011-11-10,1.017700
2011-11-14,1.016900
2011-11-15,1.020800
2011-11-16,1.022900
2011-11-17,1.028300
2011-11-18,1.027200
2011-11-21,1.037800
2011-11-22,1.037800
2011-11-23,1.048500
2011-11-24,1.046900
2011-11-25,1.049400
2011-11-28,1.035400
2011-11-29,1.030300
2011-11-30,1.020300
2011-12-01,1.014300
2011-12-02,1.018300
2011-12-05,1.016800
2011-12-06,1.009600
2011-12-07,1.010300
2011-12-08,1.022600
2011-12-09,1.018400
2011-12-12,1.025800
2011-12-13,1.034200
2011-12-14,1.039600
2011-12-15,1.035700
2011-12-16,1.037000
